"","OTU","X","LogMeanMax","Class","LDA","pValue","exp","testingGroup","genus","experiment"
"155","Otu0058",71813,3.40659,"TRUE",2.97327,0.00194577,"PRJEB20299","turned","Mucilaginibacter(100)","PRJEB20299"
"156","Otu0060",90679,3.4787,"late",3.09591,0.00575813,"PRJEB20299","stage","Roseomonas(100)","PRJEB20299"
"157","Otu0060",75181,3.402,"TRUE",2.99756,0.00194577,"PRJEB20299","turned","Roseomonas(100)","PRJEB20299"
"158","Otu0060",71815,3.39903,"TRUE",2.99625,0.0019235,"PRJEB20299","turned","Roseomonas(100)","PRJEB20299"
"159","Otu0060",87313,3.47514,"late",3.09294,0.00647603,"PRJEB20299","stage","Roseomonas(100)","PRJEB20299"
"160","Otu0061",87314,3.58143,"late",3.20481,0.033192,"PRJEB20299","stage","Pedobacter(100)","PRJEB20299"
"161","Otu0061",90680,3.57009,"late",3.29595,0.0336926,"PRJEB20299","stage","Pedobacter(100)","PRJEB20299"
"162","Otu0061",71816,3.47642,"TRUE",3.11844,0.0096624,"PRJEB20299","turned","Pedobacter(100)","PRJEB20299"
"163","Otu0061",75182,3.46889,"TRUE",3.15056,0.00982695,"PRJEB20299","turned","Pedobacter(100)","PRJEB20299"
"164","Otu0062",87315,3.40434,"late",2.92124,0.0411577,"PRJEB20299","stage","Pedobacter(100)","PRJEB20299"
"165","Otu0062",71817,3.33233,"TRUE",2.83549,0.0140654,"PRJEB20299","turned","Pedobacter(100)","PRJEB20299"
"166","Otu0062",75183,3.32817,"TRUE",2.86243,0.0281967,"PRJEB20299","turned","Pedobacter(100)","PRJEB20299"
"167","Otu0064",90683,3.50652,"late",3.19016,0.00911696,"PRJEB20299","stage","Devosia(100)","PRJEB20299"
"168","Otu0064",87317,3.52473,"late",3.18049,0.00790329,"PRJEB20299","stage","Devosia(100)","PRJEB20299"
"169","Otu0064",75185,3.34753,"TRUE",3.01609,0.00298601,"PRJEB20299","turned","Devosia(100)","PRJEB20299"
"170","Otu0064",71819,3.35318,"TRUE",3.04172,0.00298491,"PRJEB20299","turned","Devosia(100)","PRJEB20299"
